census_tract,total_applications,approvals,approval_rate,denial_rate
11001002400,68,65,0.9558823529411765,0.044117647058823484
11001002501,31,27,0.8709677419354839,0.12903225806451613
11001002503,34,33,0.9705882352941176,0.02941176470588236
11001002504,47,38,0.8085106382978723,0.19148936170212771
11001002600,21,20,0.9523809523809523,0.04761904761904767
11001002702,47,45,0.9574468085106383,0.04255319148936165
11001002703,23,23,1.0,0.0
11001002704,8,8,1.0,0.0
11001002801,16,15,0.9375,0.0625
11001002802,26,26,1.0,0.0
11001002900,65,55,0.8461538461538461,0.15384615384615385
11001003000,24,19,0.7916666666666666,0.20833333333333337
11001003100,46,40,0.8695652173913043,0.13043478260869568
11001003200,103,93,0.9029126213592233,0.09708737864077666
11001003301,50,47,0.94,0.06000000000000005
11001003302,36,33,0.9166666666666666,0.08333333333333337
11001003400,24,20,0.8333333333333334,0.16666666666666663
11001003500,21,20,0.9523809523809523,0.04761904761904767
11001003600,40,38,0.95,0.050000000000000044
11001003701,57,55,0.9649122807017544,0.03508771929824561
11001003702,23,22,0.9565217391304348,0.04347826086956519
11001003801,43,42,0.9767441860465116,0.023255813953488413
11001003802,33,33,1.0,0.0
11001003901,10,7,0.7,0.30000000000000004
11001003902,47,46,0.9787234042553191,0.021276595744680882
11001004001,62,59,0.9516129032258065,0.048387096774193505
11001004002,52,52,1.0,0.0
11001004100,36,33,0.9166666666666666,0.08333333333333337
11001004201,48,47,0.9791666666666666,0.02083333333333337
11001004202,34,29,0.8529411764705882,0.1470588235294118
11001004300,45,44,0.9777777777777777,0.022222222222222254
11001004401,81,76,0.9382716049382716,0.06172839506172845
11001004402,31,28,0.9032258064516129,0.09677419354838712
11001004600,53,46,0.8679245283018868,0.13207547169811318
11001004702,30,30,1.0,0.0
11001004703,17,17,1.0,0.0
11001004704,3,3,1.0,0.0
11001004801,38,34,0.8947368421052632,0.10526315789473684
11001004802,26,23,0.8846153846153846,0.11538461538461542
11001004901,19,18,0.9473684210526315,0.052631578947368474
11001004902,36,32,0.8888888888888888,0.11111111111111116
11001005001,35,32,0.9142857142857143,0.08571428571428574
11001005003,22,20,0.9090909090909091,0.09090909090909094
11001005004,48,46,0.9583333333333334,0.04166666666666663
11001005202,80,73,0.9125,0.08750000000000002
11001005203,21,20,0.9523809523809523,0.04761904761904767
11001005302,40,38,0.95,0.050000000000000044
11001005303,47,45,0.9574468085106383,0.04255319148936165
11001005501,33,32,0.9696969696969697,0.030303030303030276
11001005502,29,25,0.8620689655172413,0.13793103448275867
11001005503,23,22,0.9565217391304348,0.04347826086956519
11001005601,33,30,0.9090909090909091,0.09090909090909094
11001005602,32,30,0.9375,0.0625
11001005801,38,30,0.7894736842105263,0.21052631578947367
11001005802,21,15,0.7142857142857143,0.2857142857142857
11001005900,17,16,0.9411764705882353,0.05882352941176472
11001006400,7,7,1.0,0.0
11001006500,25,23,0.92,0.07999999999999996
11001006600,22,21,0.9545454545454546,0.045454545454545414
11001006700,33,30,0.9090909090909091,0.09090909090909094
11001006801,36,35,0.9722222222222222,0.02777777777777779
11001006802,39,37,0.9487179487179487,0.05128205128205132
11001006900,49,47,0.9591836734693877,0.04081632653061229
11001007000,25,25,1.0,0.0
11001007100,50,47,0.94,0.06000000000000005
11001007201,30,27,0.9,0.09999999999999998
11001007202,19,19,1.0,0.0
11001007203,17,16,0.9411764705882353,0.05882352941176472
11001007304,13,12,0.9230769230769231,0.07692307692307687
11001007401,9,5,0.5555555555555556,0.4444444444444444
11001007403,3,2,0.6666666666666666,0.33333333333333337
11001007404,21,16,0.7619047619047619,0.23809523809523814
11001007406,23,16,0.6956521739130435,0.30434782608695654
11001007407,34,28,0.8235294117647058,0.17647058823529416
11001007408,9,7,0.7777777777777778,0.2222222222222222
11001007409,10,8,0.8,0.19999999999999996
11001007502,14,13,0.9285714285714286,0.0714285714285714
11001007503,16,14,0.875,0.125
11001007504,19,19,1.0,0.0
11001007601,50,41,0.82,0.18000000000000005
11001007603,43,31,0.7209302325581395,0.2790697674418605
11001007604,28,19,0.6785714285714286,0.3214285714285714
11001007605,19,18,0.9473684210526315,0.052631578947368474
11001007703,23,16,0.6956521739130435,0.30434782608695654
11001007707,49,36,0.7346938775510204,0.26530612244897955
11001007708,5,5,1.0,0.0
11001007709,40,34,0.85,0.15000000000000002
11001007803,42,36,0.8571428571428571,0.1428571428571429
11001007804,33,30,0.9090909090909091,0.09090909090909094
11001007806,38,27,0.7105263157894737,0.2894736842105263
11001007807,15,10,0.6666666666666666,0.33333333333333337
11001007808,25,18,0.72,0.28
11001007809,41,35,0.8536585365853658,0.14634146341463417
11001007901,46,43,0.9347826086956522,0.06521739130434778
11001007903,22,22,1.0,0.0
11001008001,43,39,0.9069767441860465,0.09302325581395354
11001008002,45,42,0.9333333333333333,0.06666666666666665
11001008100,48,44,0.9166666666666666,0.08333333333333337
11001008200,27,26,0.9629629629629629,0.03703703703703709
11001008301,29,29,1.0,0.0
11001008302,23,20,0.8695652173913043,0.13043478260869568
11001008402,27,23,0.8518518518518519,0.14814814814814814
11001008410,38,38,1.0,0.0
11001008701,57,52,0.9122807017543859,0.08771929824561409
11001008702,71,67,0.9436619718309859,0.05633802816901412
11001008802,94,77,0.8191489361702128,0.18085106382978722
11001008803,26,19,0.7307692307692307,0.2692307692307693
11001008804,53,49,0.9245283018867925,0.07547169811320753
11001008903,52,47,0.9038461538461539,0.09615384615384615
11001008904,34,29,0.8529411764705882,0.1470588235294118
11001009000,39,32,0.8205128205128205,0.17948717948717952
11001009102,50,45,0.9,0.09999999999999998
11001009201,52,48,0.9230769230769231,0.07692307692307687
11001009203,40,36,0.9,0.09999999999999998
11001009204,14,14,1.0,0.0
11001009301,40,40,1.0,0.0
11001009302,12,12,1.0,0.0
11001009400,50,46,0.92,0.07999999999999996
11001009503,29,27,0.9310344827586207,0.06896551724137934
11001009504,62,58,0.9354838709677419,0.06451612903225812
11001009505,36,33,0.9166666666666666,0.08333333333333337
11001009507,58,56,0.9655172413793104,0.03448275862068961
11001009508,31,30,0.967741935483871,0.032258064516129004
11001009509,34,29,0.8529411764705882,0.1470588235294118
11001009510,27,23,0.8518518518518519,0.14814814814814814
11001009601,9,7,0.7777777777777778,0.2222222222222222
11001009602,15,8,0.5333333333333333,0.4666666666666667
11001009603,23,20,0.8695652173913043,0.13043478260869568
11001009604,31,28,0.9032258064516129,0.09677419354838712
11001009700,24,23,0.9583333333333334,0.04166666666666663
11001009801,9,6,0.6666666666666666,0.33333333333333337
11001009802,12,9,0.75,0.25
11001009803,17,11,0.6470588235294118,0.3529411764705882
11001009804,28,20,0.7142857142857143,0.2857142857142857
11001009807,41,34,0.8292682926829268,0.1707317073170732
11001009810,2,2,1.0,0.0
11001009811,9,7,0.7777777777777778,0.2222222222222222
11001009901,47,37,0.7872340425531915,0.21276595744680848
11001009902,42,33,0.7857142857142857,0.2142857142857143
11001009903,19,15,0.7894736842105263,0.21052631578947367
11001009904,20,12,0.6,0.4
11001009905,33,29,0.8787878787878788,0.12121212121212122
11001009906,22,18,0.8181818181818182,0.18181818181818177
11001009907,12,11,0.9166666666666666,0.08333333333333337
11001010100,18,18,1.0,0.0
11001010201,10,9,0.9,0.09999999999999998
11001010202,31,24,0.7741935483870968,0.22580645161290325
11001010300,65,52,0.8,0.19999999999999996
11001010400,72,63,0.875,0.125
11001010500,30,25,0.8333333333333334,0.16666666666666663
11001010601,1,1,1.0,0.0
11001010602,61,61,1.0,0.0
11001010700,16,13,0.8125,0.1875
11001010800,10,9,0.9,0.09999999999999998
11001010900,2,1,0.5,0.5
11001011001,48,38,0.7916666666666666,0.20833333333333337
11001011002,68,57,0.8382352941176471,0.16176470588235292
11001011100,57,50,0.8771929824561403,0.1228070175438597
24009860103,86,79,0.9186046511627907,0.08139534883720934
24009860200,62,56,0.9032258064516129,0.09677419354838712
24009860300,45,41,0.9111111111111111,0.0888888888888889
24009860402,53,49,0.9245283018867925,0.07547169811320753
24009860403,52,45,0.8653846153846154,0.13461538461538458
24009860404,106,96,0.9056603773584906,0.09433962264150941
24009860501,70,64,0.9142857142857143,0.08571428571428574
24009860502,37,33,0.8918918918918919,0.10810810810810811
24009860600,75,68,0.9066666666666666,0.09333333333333338
24009860701,36,28,0.7777777777777778,0.2222222222222222
24009860702,44,34,0.7727272727272727,0.2272727272727273
24009860703,32,31,0.96875,0.03125
24009860801,90,87,0.9666666666666667,0.033333333333333326
24009860901,58,53,0.9137931034482759,0.08620689655172409
24009860902,51,48,0.9411764705882353,0.05882352941176472
24009861003,96,88,0.9166666666666666,0.08333333333333337
24009861004,166,154,0.927710843373494,0.07228915662650603
24009861100,72,65,0.9027777777777778,0.09722222222222221
24017850101,253,220,0.8695652173913043,0.13043478260869568
24017850102,36,32,0.8888888888888888,0.11111111111111116
24017850201,88,70,0.7954545454545454,0.20454545454545459
24017850202,74,66,0.8918918918918919,0.10810810810810811
24017850300,30,24,0.8,0.19999999999999996
24017850400,41,33,0.8048780487804879,0.19512195121951215
24017850500,40,36,0.9,0.09999999999999998
24017850600,62,53,0.8548387096774194,0.14516129032258063
24017850706,115,93,0.808695652173913,0.19130434782608696
24017850708,57,52,0.9122807017543859,0.08771929824561409
24017850709,80,70,0.875,0.125
24017850710,74,69,0.9324324324324325,0.06756756756756754
24017850711,89,81,0.9101123595505618,0.0898876404494382
24017850712,161,146,0.906832298136646,0.09316770186335399
24017850713,145,123,0.8482758620689655,0.15172413793103445
24017850801,85,74,0.8705882352941177,0.12941176470588234
24017850802,78,70,0.8974358974358975,0.10256410256410253
24017850901,85,71,0.8352941176470589,0.16470588235294115
24017850902,76,75,0.9868421052631579,0.013157894736842146
24017850904,239,207,0.8661087866108786,0.13389121338912136
24017850905,71,63,0.8873239436619719,0.11267605633802813
24017850906,68,59,0.8676470588235294,0.13235294117647056
